iter,recovery_rate,latency_rate,susceptibility_0,susceptibility_5,susceptibility_25,susceptibility_50,susceptibility_65,relative_vaccineEfficacyVsInfection_0,relative_vaccineEfficacyVsInfection_0.5,relative_vaccineEfficacyVsInfection_16,relative_vaccineEfficacyVsInfection_65,vaccineEfficacyVsDeath_0,vaccineEfficacyVsDeath_20,vaccineEfficacyVsDeath_65,vaccineEfficacyVsHospitalization_0,vaccineEfficacyVsHospitalization_5,vaccineEfficacyVsHospitalization_16,vaccineEfficacyVsHospitalization_65,caseMortality_0,caseMortality_5,caseMortality_18,caseMortality_50,caseMortality_65,caseHospitalization_0,caseHospitalization_5,caseHospitalization_18,caseHospitalization_50,caseHospitalization_65,R0
10,0.443689944,0.541640675,0.959661058,0.903921763,0.838979947,0.696563321,0.370859441,0,0.745611759,0.715304644,0.526311371,0.49270954,0.471649627,0.589866408,0.508804416,0.464479826,0.283205831,0.445169993,6.06E-05,5.03E-05,0.00026627,0.001024981,0.009742975,0.01280877,0.003517886,0.007916816,0.017448591,0.009742975,1.265
11,0.260334641,0.570872166,0.928560163,0.908605911,0.850896095,0.960154122,0.668251117,0,0.674746137,0.889169959,0.546323436,0.657406081,0.42781643,0.447905137,0.639093453,0.565492581,0.535045767,0.48546071,5.29E-05,2.62E-05,0.000783263,0.001428011,0.017372453,0.009348932,0.000759842,0.013413303,0.015019932,0.017372453,1.265
12,0.36851353,0.589941634,0.975964154,0.833034367,0.851777755,0.983534404,0.577728181,0,0.613881141,0.681103162,0.534063781,0.550342871,0.53385495,0.637201172,0.551978608,0.38327672,0.387915671,0.488154555,0.000180651,4.18E-05,0.000528592,0.001533274,0.020856091,0.014370719,0.003647258,0.003274086,0.018115815,0.020856091,1.265
13,0.224352775,0.85155645,0.940261416,0.858634859,0.830702744,0.836522423,0.984599482,0,0.727679335,0.680995451,0.473850789,0.446511798,0.607491912,0.586410724,0.567330051,0.425433798,0.360568161,0.503270854,0.00011813,3.64E-05,0.00088096,0.00106633,0.014573168,0.02290093,0.001243847,0.005107334,0.012152986,0.014573168,1.265
14,0.374864015,0.606096385,0.976027224,0.90985054,0.667126492,0.610091998,0.945259058,0,0.745324554,0.748285634,0.479321054,0.567489935,0.4500287,0.380958196,0.519116863,0.606688275,0.296815033,0.486525224,0.000196404,6.23E-05,0.000138046,0.000475859,0.007448467,0.011227821,0.000904129,0.021690145,0.017150929,0.007448467,1.265
15,0.261573704,0.589739955,0.946365485,0.788927411,0.90547564,0.832842256,0.383507612,0,0.905728729,0.63680378,0.471937737,0.421528049,0.505601874,0.417149172,0.641213347,0.553122882,0.416267294,0.44521924,3.99E-05,2.92E-05,0.000394474,0.001331421,0.020803378,0.01539896,0.002305359,0.0059161,0.019374037,0.020803378,1.265
16,0.399779593,0.486073117,0.995331296,0.718524376,0.7460293,0.763584822,0.989113877,0,0.536424519,0.637174618,0.468947152,0.731269462,0.627857276,0.492251912,0.70838018,0.574791707,0.447318633,0.562414532,8.46E-05,6.88E-05,0.000921359,0.000395804,0.025035842,0.015538595,0.002727295,0.009324008,0.019000712,0.025035842,1.265
17,0.866093549,0.464801713,0.960918188,0.720368578,0.652411194,0.627189206,0.804976372,0,0.666971371,0.61188649,0.44022878,0.444838133,0.580964169,0.345917338,0.691847661,0.421614645,0.359895808,0.445114819,6.83E-05,4.00E-05,0.000295336,0.000435577,0.023355693,0.013565737,0.00289072,0.011143766,0.019582177,0.023355693,1.265
18,0.419080991,0.479860894,0.944985042,0.732675299,0.720428424,0.519400024,0.557609483,0,0.623767898,0.852519988,0.520050608,0.692302234,0.691289949,0.398853839,0.628453183,0.52961338,0.343083226,0.519101967,0.000120367,7.95E-05,0.000331494,0.001357095,0.032710926,0.021274921,0.000792796,0.007866139,0.022639184,0.032710926,1.265
19,0.368554802,0.483747902,0.901356132,0.984535094,0.892689235,0.999810689,0.34985468,0,0.823364277,0.615962332,0.469102038,0.590928565,0.699390238,0.430034015,0.624590601,0.529956855,0.337464656,0.387557839,3.13E-05,2.60E-05,0.000942129,0.000481823,0.010838599,0.016078996,0.004031887,0.012418443,0.01884729,0.010838599,1.265
20,0.277161341,0.552104408,0.907448921,0.984014964,0.995753491,0.668983639,0.64881204,0,0.523000273,0.747207791,0.492885944,0.635606714,0.654234507,0.389791621,0.593974382,0.525737755,0.322443045,0.486751281,0.00011924,3.58E-05,0.001262263,0.001322408,0.016618681,0.0141997,0.000833081,0.018817054,0.025175075,0.016618681,1.265
21,0.272493113,0.752048502,0.920888535,0.709270221,0.755796451,0.556497231,0.588787564,0,0.516000109,0.659036952,0.45338994,0.635604162,0.558077546,0.373384401,0.602039058,0.601559541,0.378944229,0.54033392,5.65E-05,7.20E-05,0.000179966,0.001185154,0.024272267,0.0194313,0.001411653,0.004620205,0.010120596,0.024272267,1.265
22,0.567892162,0.501963408,0.999439165,0.961326256,0.912420247,0.750236585,0.868957039,0,0.672664963,0.615984777,0.523530753,0.615426359,0.544980173,0.528342801,0.633182748,0.402544754,0.391765092,0.480442926,3.95E-05,6.44E-05,0.000576537,0.001255848,0.013438846,0.013583839,0.00394876,0.011591293,0.017901235,0.013438846,1.265
23,0.32090841,0.542241696,0.922059028,0.715127199,0.779029837,0.512389504,0.863469091,0,0.463140334,0.840605241,0.468248997,0.526505475,0.627479901,0.487430447,0.49183137,0.466575763,0.480965315,0.525380044,3.65E-05,4.14E-05,0.001424642,0.000634537,0.024337781,0.018456007,0.002340551,0.005991101,0.015179462,0.024337781,1.265
24,0.26233557,0.562791604,0.930305559,0.870956522,0.895075295,0.841835652,0.652696586,0,0.753681647,0.818358609,0.520881472,0.527893889,0.632692671,0.669380257,0.527104353,0.47708334,0.380975969,0.513664372,0.000100118,3.13E-05,0.001006355,0.000656571,0.025812751,0.019715032,0.003585367,0.011949315,0.009424968,0.025812751,1.265
25,0.286778761,0.544097397,0.987854848,0.711638985,0.709542073,0.977462621,0.325619108,0,0.620027295,0.829781676,0.525955857,0.568374535,0.543245032,0.564688192,0.568175292,0.43536724,0.545077117,0.511653468,0.000203638,6.61E-05,0.000277859,0.000311515,0.026131265,0.013269076,0.000864987,0.004401096,0.008328105,0.026131265,1.265
26,0.394404565,0.529529159,0.914845251,0.707195764,0.77502279,0.704233441,0.898059701,0,0.746967619,0.594155906,0.549944871,0.738710427,0.599156546,0.358226371,0.583974292,0.560096939,0.371936978,0.575156745,0.000108013,7.84E-05,0.000422347,0.001120426,0.0214967,0.01256254,0.003466122,0.004358178,0.012961874,0.0214967,1.265
27,0.278260489,0.434538905,0.948545471,0.803629803,0.836780992,0.905293881,0.380032179,0,0.645151193,0.829523898,0.517001239,0.441340021,0.539441126,0.684249271,0.505366841,0.571457376,0.525226403,0.519480587,0.00023547,3.82E-05,0.000521992,0.001134173,0.023146037,0.015529043,0.002791245,0.017332023,0.013939107,0.023146037,1.265
28,0.500514742,0.510295918,0.94497809,0.755576083,0.719457169,0.749306441,0.680012439,0,0.749233978,0.737681263,0.465456609,0.730300595,0.443180155,0.528860952,0.629470228,0.550164591,0.500717447,0.518990226,0.000210373,2.09E-05,0.00108691,0.00074135,0.01419486,0.017032435,0.002910714,0.004311171,0.021042842,0.01419486,1.265
29,0.382637529,0.463917927,0.959367644,0.866303237,0.984479053,0.886663783,0.662678998,0,0.652900569,0.713179348,0.498011404,0.507128929,0.632271189,0.682183639,0.609167343,0.60728896,0.376493027,0.488301736,0.000114852,7.48E-05,0.00100933,0.001375807,0.021003149,0.018163186,0.00105751,0.005084821,0.016452533,0.021003149,1.265
30,0.473936336,0.553124018,0.955524445,0.837477113,0.650577186,0.679009136,0.354093109,0,0.638211618,0.762051124,0.448525724,0.650608403,0.403649741,0.499343435,0.554694809,0.572057438,0.427234697,0.51500971,9.24E-05,3.04E-05,0.000707146,0.001189617,0.008062295,0.011315722,0.002806427,0.017971389,0.014335835,0.008062295,1.265
31,0.413119375,0.747046423,0.976617786,0.771743121,0.697606294,0.52606174,0.3557834,0,0.761820401,0.681649058,0.526043845,0.709307246,0.415677722,0.489517734,0.639482872,0.521088189,0.32516664,0.47538502,8.39E-05,3.78E-05,0.000319252,0.000272006,0.012194874,0.01095461,0.002825442,0.016477716,0.006248944,0.012194874,1.265
32,0.310691598,0.63383222,0.985627438,0.830667958,0.766587851,0.538292248,0.966045275,0,0.942234438,0.69631839,0.505751513,0.749824215,0.654595777,0.535904987,0.621709171,0.372059319,0.401154194,0.542987637,0.000116957,2.84E-05,0.000392028,0.001188068,0.017059881,0.020404544,0.003650178,0.011617672,0.017228784,0.017059881,1.265
33,0.443429425,0.495766005,0.973472996,0.931263061,0.887225021,0.503087658,0.363954823,0,0.739081893,0.579289576,0.458479706,0.665931465,0.424844334,0.603638448,0.567941149,0.565527732,0.483792882,0.465492611,6.41E-05,6.46E-05,0.000627133,0.001579056,0.013661912,0.01509902,0.004503332,0.011440949,0.018236565,0.013661912,1.265
34,0.273291494,0.426387686,0.949977982,0.766260778,0.96917151,0.998679755,0.351791728,0,0.696231583,0.776857727,0.575279078,0.737671282,0.514361202,0.537880897,0.488753346,0.535448243,0.392795545,0.506456046,0.000129868,2.59E-05,0.000436523,0.001273547,0.016921607,0.015713364,0.002685766,0.005407697,0.018970931,0.016921607,1.265
35,0.352260858,0.548904895,0.927886907,0.782108488,0.815190624,0.553633409,0.947602708,0,0.750571787,0.788595271,0.573884242,0.426323462,0.628619489,0.520990877,0.653411235,0.504418622,0.47816238,0.452497347,0.00012667,7.25E-05,0.000904938,0.001447128,0.028844433,0.01300591,0.001872136,0.004587367,0.01672232,0.028844433,1.265
36,0.577619283,0.573340926,0.983406812,0.860230267,0.823616878,0.967813292,0.312336406,0,0.824349268,0.679982994,0.418017388,0.747624582,0.674364578,0.458727522,0.529485494,0.591299761,0.489889842,0.439131033,0.000185702,7.28E-05,0.00140786,0.00098999,0.008368439,0.018945651,0.003011161,0.026778789,0.011484694,0.008368439,1.265
37,0.238626966,0.683056685,0.925455704,0.893457793,0.72165013,0.63869606,0.877694935,0,0.824788623,0.689737441,0.567715174,0.72122217,0.498305517,0.697399209,0.526700337,0.468720587,0.408481673,0.533609081,0.000179588,4.16E-05,0.000706198,0.000383115,0.018202164,0.014847305,0.001179568,0.021974225,0.021279428,0.018202164,1.265
38,0.400384602,0.498556964,0.997929183,0.944282125,0.925221513,0.809580212,0.417216282,0,0.678260699,0.598218655,0.443747971,0.436913226,0.449401204,0.69129556,0.693822029,0.520801431,0.327523776,0.387523238,0.000230398,2.29E-05,0.000113277,0.000489913,0.023341037,0.019856578,0.002035646,0.027265162,0.021961503,0.023341037,1.265
39,1.014932459,0.586180797,0.936913103,0.793012037,0.995718849,0.891532369,0.555693867,0,0.747205361,0.528880985,0.516806562,0.503809217,0.664573234,0.401326441,0.643804068,0.474370568,0.440352142,0.462396346,0.000187638,6.15E-05,0.000634092,0.001108745,0.021090149,0.015908872,0.0049193,0.024120324,0.025898121,0.021090149,1.265
40,0.388132201,0.48551198,0.917504069,0.983783787,0.736318543,0.932574837,0.595075376,0,0.566808427,0.660500162,0.484180972,0.403403738,0.591606181,0.61410813,0.472151128,0.491610043,0.476836324,0.417837717,0.00023254,7.56E-05,0.000370601,0.000486934,0.023726199,0.014311452,0.003732631,0.006223446,0.016110797,0.023726199,1.265
41,0.312008429,0.444877191,0.906693377,0.929835709,0.670157166,0.514325239,0.380452226,0,0.877859143,0.736492446,0.568959165,0.572758986,0.498332489,0.49660422,0.573834566,0.460283374,0.505976266,0.436064251,0.000150932,4.17E-05,0.001136661,0.001168916,0.01945433,0.018808133,0.003571799,0.021801267,0.003249395,0.01945433,1.265
42,0.353818173,0.46353037,0.977307507,0.855502069,0.911281549,0.533108339,0.420217119,0,0.714032817,0.736859863,0.465882885,0.73022445,0.566943716,0.511433701,0.656054768,0.505633481,0.42913203,0.514403111,0.000190559,8.04E-05,9.95E-05,0.001267451,0.008946629,0.01389986,0.004088323,0.020669879,0.021408788,0.008946629,1.265
43,0.436715258,0.540422084,0.966104375,0.707393991,0.917523834,0.726035426,0.799449517,0,0.717886542,0.581003731,0.539697551,0.500214132,0.439735275,0.582971158,0.579726678,0.4691823,0.427028611,0.503501791,0.000131879,3.82E-05,0.001124814,0.00020629,0.024324834,0.007512147,0.003997657,0.010136372,0.019175961,0.024324834,1.265
44,0.441368265,0.461019284,0.920743503,0.842085521,0.85692514,0.590103487,0.935227942,0,0.571531698,0.658403291,0.488123096,0.700741748,0.428663465,0.538573463,0.597765774,0.500841515,0.52761814,0.502205637,9.54E-05,1.28E-05,0.000127574,0.000499359,0.007668885,0.014495594,0.002163178,0.007204353,0.023650327,0.007668885,1.265
45,0.276489109,0.444638898,0.927637369,0.975157929,0.902538594,0.543097241,0.538826363,0,0.779251603,0.688728989,0.428126302,0.614957718,0.61671297,0.31972773,0.584130089,0.54300058,0.316501919,0.472306759,3.17E-05,2.46E-05,0.000159419,0.000746709,0.016143529,0.010255918,0.001688049,0.009235275,0.01302763,0.016143529,1.265
46,0.339264001,0.612678944,0.977905242,0.909425453,0.868835316,0.788372054,0.337580396,0,0.900552136,0.771237486,0.459603274,0.479603278,0.457805203,0.661789777,0.558707587,0.486957486,0.400074533,0.489364833,3.93E-05,7.72E-05,0.000936725,0.000995015,0.022282619,0.022887274,0.002609516,0.002676261,0.008366047,0.022282619,1.265
47,0.302088382,0.790532452,0.981009752,0.707159429,0.87486037,0.986758548,0.693665015,0,0.848236636,0.634383249,0.511700271,0.71739842,0.569111538,0.361756161,0.499956286,0.472846191,0.546151556,0.53459186,0.000173443,5.39E-05,0.000275617,0.001337391,0.024147177,0.007394816,0.003202078,0.00811726,0.016004322,0.024147177,1.265
48,0.337705225,0.498314729,0.978149262,0.790629197,0.990719583,0.768654125,0.454291832,0,0.814388084,0.588241666,0.495405916,0.510131463,0.632276374,0.340527213,0.5318913,0.526654349,0.520101226,0.424759158,9.59E-05,5.35E-05,0.001305401,0.001070994,0.022011493,0.013872717,0.001827653,0.01237509,0.0114902,0.022011493,1.265
49,0.704524373,0.490028799,0.913073256,0.726015039,0.763270542,0.50129839,0.412708543,0,0.80973492,0.732137119,0.427977294,0.738029482,0.462048502,0.41604944,0.580456655,0.420413814,0.449969376,0.567117129,0.000125388,3.06E-05,0.000408012,0.00098915,0.02222259,0.015147468,0.001318201,0.009883381,0.023084624,0.02222259,1.265
50,0.252217007,0.515439261,0.985379133,0.706982089,0.730635773,0.680120517,0.646240753,0,0.4757491,0.651658464,0.512371355,0.56049672,0.649551733,0.558358933,0.524477303,0.429778477,0.495298734,0.583271489,4.37E-05,4.26E-05,0.000557199,0.000884164,0.019629582,0.014701717,0.002150822,0.008802553,0.024443595,0.019629582,1.265
51,0.415334508,0.667157928,0.967561038,0.832737319,0.915253881,0.973931812,0.363792613,0,0.688750095,0.67576998,0.517387719,0.70133143,0.638531358,0.41796917,0.53154573,0.503318135,0.533423141,0.540710309,4.63E-05,4.47E-05,0.000291388,0.001444249,0.030783574,0.015699552,0.003130927,0.009157341,0.021428612,0.030783574,1.265
52,0.306772457,0.516526817,0.972736234,0.780523103,0.952107631,0.835044978,0.59051099,0,0.781011999,0.60594307,0.532299939,0.555762722,0.501937035,0.402300227,0.626947706,0.548917078,0.453835802,0.490761667,6.22E-05,3.75E-05,0.000148687,0.001302629,0.018836723,0.013538668,0.001907748,0.004948856,0.014985831,0.018836723,1.265
53,0.527843927,0.620266266,0.994406685,0.902131514,0.611653569,0.894009527,0.884896907,0,0.793426054,0.675608481,0.466158772,0.447544447,0.588153029,0.300511509,0.646342418,0.515373833,0.371716587,0.557616473,0.000117683,6.06E-05,0.000145911,0.001362325,0.020041758,0.009333362,0.00313024,0.017563963,0.015458437,0.020041758,1.265
54,0.371430847,0.582576976,0.901653637,0.869730954,0.684436112,0.917672764,0.586737474,0,0.630822623,0.644411997,0.523900569,0.670121046,0.44492048,0.638852796,0.558993936,0.580325301,0.302435685,0.46832779,0.00010155,8.97E-05,0.000335164,0.001020145,0.024125088,0.00372612,0.003736464,0.006727434,0.014241834,0.024125088,1.265
55,0.410951567,0.567572837,0.996162315,0.759031764,0.910162553,0.62995451,0.475536132,0,0.745575951,0.857887965,0.475533528,0.519384934,0.454604297,0.449466569,0.537639045,0.527528306,0.445582297,0.533306551,0.000139442,4.60E-05,0.000231266,0.001412879,0.026792769,0.021773315,0.003066463,0.00806982,0.017801446,0.026792769,1.265
56,0.281549536,0.662383329,0.916048435,0.909599046,0.743962834,0.585774696,0.811629727,0,0.614738094,0.855401343,0.508815131,0.650857274,0.402272808,0.669047015,0.701207891,0.437537471,0.491723602,0.538626984,0.00016416,3.98E-05,0.000703565,0.001520726,0.010271673,0.017772296,0.001319175,0.020956282,0.019371251,0.010271673,1.265
57,0.452113574,0.460165163,0.943935232,0.706797525,0.977119854,0.662972095,0.941017556,0,0.882052757,0.576744757,0.521084623,0.425734168,0.462701774,0.654761544,0.505802051,0.50337898,0.382687919,0.528866797,7.08E-05,3.43E-05,0.000650775,0.000957137,0.023953055,0.005807597,0.001189161,0.005063624,0.01300048,0.023953055,1.265
58,0.324040242,0.732654883,0.950293903,0.85817183,0.972099404,0.650223722,0.686067201,0,0.772451211,0.732312545,0.516090329,0.524776531,0.488414611,0.487224558,0.61177969,0.418586099,0.480365133,0.503694072,5.16E-05,4.48E-05,0.000725504,0.001001457,0.01617425,0.013087566,0.002039533,0.018476736,0.02944291,0.01617425,1.265
59,0.42033922,0.486025932,0.958766214,0.73608908,0.971171632,0.888655783,0.785047165,0,0.690152998,0.681884329,0.549424203,0.670460702,0.446323779,0.303385611,0.591105356,0.566748247,0.478896484,0.399270932,0.000190387,1.54E-05,0.000719656,0.001036678,0.020663219,0.010020875,0.003544425,0.007845866,0.019055077,0.020663219,1.265
60,0.524208183,0.687136857,0.976006558,0.749751721,0.889371958,0.958576358,0.986381084,0,0.531729796,0.654636691,0.482711102,0.525011835,0.443549562,0.650084699,0.555980477,0.506257728,0.381313194,0.454941128,3.50E-05,7.85E-05,0.000377061,0.00123539,0.008736936,0.02116607,0.001912453,0.010474005,0.018915037,0.008736936,1.265
61,0.256210702,0.639990109,0.96601211,0.792459244,0.717106659,0.629672639,0.589162199,0,0.513648488,0.539805246,0.479932603,0.486556293,0.577198016,0.563801677,0.632350047,0.484080445,0.293540698,0.494231655,6.34E-05,3.47E-05,0.000816759,0.000569742,0.035792975,0.016412651,0.004695048,0.00557691,0.020781803,0.035792975,1.265
62,0.452565756,0.609564644,0.917872813,0.749330201,0.873099973,0.698863828,0.892144756,0,0.61453547,0.654492221,0.459837464,0.537621512,0.663486785,0.663403909,0.68018574,0.479349989,0.427283902,0.41337895,0.000103941,1.99E-05,0.000210938,0.001285774,0.017401706,0.012773531,0.003702391,0.010321713,0.020712947,0.017401706,1.265
63,0.246184667,0.524317391,0.99815352,0.82797728,0.817290572,0.819577556,0.959206621,0,0.490789733,0.825574725,0.54203174,0.618521277,0.561084227,0.69518819,0.657638651,0.63874879,0.50535236,0.488852768,6.53E-05,4.11E-05,0.001146123,0.000777449,0.026089794,0.020521113,0.004087849,0.014505132,0.029071542,0.026089794,1.265
64,0.391942625,0.53484866,0.960114731,0.886452077,0.993464179,0.555027353,0.674184213,0,0.744115629,0.566860014,0.485172123,0.677579116,0.485345634,0.591788746,0.573704935,0.49044774,0.273717717,0.546267933,8.93E-05,4.59E-05,0.00015105,0.000593537,0.014009754,0.012086959,0.003170836,0.015737713,0.020034109,0.014009754,1.265
65,0.271282569,0.468031497,0.933244007,0.711903867,0.866944554,0.644959861,0.83609163,0,0.448733623,0.666557183,0.495455346,0.410769781,0.62501513,0.588079303,0.672776206,0.421196818,0.497689989,0.552423814,6.86E-05,2.86E-05,0.000477624,0.000975726,0.011244415,0.017776966,0.002182674,0.008585257,0.021729218,0.011244415,1.265
66,0.561539498,0.666879077,0.990069198,0.756384045,0.772120432,0.507874326,0.764728127,0,0.727928775,0.65181756,0.460295348,0.453407278,0.65316,0.53744224,0.524361663,0.555168992,0.277555981,0.48642941,3.46E-05,2.81E-05,0.000969222,0.000461655,0.022375994,0.011548221,0.000929966,0.010185086,0.019374351,0.022375994,1.265
67,0.285581729,0.723540908,0.949344741,0.777477803,0.71794789,0.946041745,0.490667087,0,0.962527836,0.636283056,0.483339361,0.694889679,0.513340914,0.329210549,0.693803028,0.437788118,0.277496637,0.469377383,5.53E-05,3.42E-05,0.000350644,0.000946319,0.013864956,0.008163523,0.001629042,0.004586518,0.021328573,0.013864956,1.265
68,0.354379796,0.45556112,0.928686082,0.805207192,0.738251497,0.708850595,0.460963147,0,0.669924243,0.651826822,0.541730217,0.506298357,0.418089816,0.32155584,0.591797952,0.472800019,0.450278914,0.564376782,0.00015403,4.17E-05,0.000507061,0.001097893,0.012557905,0.008064457,0.002038699,0.010831034,0.023066841,0.012557905,1.265
69,0.720800497,0.682641704,0.966159727,0.804424365,0.87788244,0.786716976,0.394005586,0,0.717374513,0.807643099,0.47975565,0.468784359,0.432094398,0.398901591,0.59598402,0.491216618,0.430335061,0.467436237,6.49E-05,2.34E-05,0.000418246,0.00073135,0.03798923,0.007035001,0.002873303,0.011195172,0.012082471,0.03798923,1.265
70,0.237639726,0.524094405,0.9389346,0.854041235,0.955705032,0.862773355,0.697819692,0,0.471781689,0.591717663,0.552899006,0.48050789,0.464717551,0.597888154,0.507144416,0.540931714,0.431106477,0.496576585,4.23E-05,2.26E-05,0.000410726,0.001107944,0.023633433,0.018116919,0.001250658,0.026207268,0.015270418,0.023633433,1.265
71,0.593162352,0.521743852,0.92639127,0.787937386,0.918814229,0.943536941,0.394454161,0,0.914266363,0.761519399,0.496498294,0.69869549,0.468380555,0.459464125,0.587113922,0.416251835,0.445182431,0.427857404,0.000150992,5.61E-05,0.000703102,0.001291682,0.019327138,0.00773949,0.002238624,0.00387667,0.0170413,0.019327138,1.265
72,0.674819658,0.643992723,0.979629256,0.772506687,0.614744822,0.997821666,0.433875875,0,0.533620867,0.785857479,0.569785328,0.605935605,0.553746523,0.528108763,0.687140543,0.585623217,0.296771419,0.450574017,2.75E-05,2.81E-05,0.00055977,0.001015511,0.023664503,0.007199004,0.000898401,0.005998178,0.007834256,0.023664503,1.265
73,0.550656299,0.511357593,0.913506107,0.823647864,0.931590302,0.81818068,0.772186068,0,0.670261763,0.682208381,0.511389334,0.732115177,0.613374214,0.460269158,0.681699051,0.596827386,0.47895712,0.520978084,0.00018212,3.98E-05,0.000763349,0.000674238,0.018454645,0.017411675,0.001253133,0.015272532,0.014426682,0.018454645,1.265
74,0.513574511,0.612349818,0.996345823,0.958256505,0.774212696,0.572869903,0.559806472,0,0.656658445,0.82477233,0.568615201,0.496968397,0.419738431,0.455668374,0.626595038,0.518886126,0.412108822,0.502410245,4.10E-05,6.72E-05,0.000791793,0.001479539,0.026759903,0.018986223,0.002219366,0.022394157,0.018070196,0.026759903,1.265
75,0.688954961,0.41703163,0.936348843,0.929058647,0.605357121,0.889239316,0.898203149,0,0.693289412,0.80389608,0.487800394,0.517919521,0.475716453,0.463519723,0.670036657,0.514349837,0.44939995,0.539443321,0.000151626,1.90E-05,0.000788689,0.000614412,0.026560545,0.014184665,0.002831202,0.007741421,0.024609011,0.026560545,1.265
76,0.637909262,0.529496602,0.904179848,0.859784471,0.999588135,0.796200506,0.761082918,0,0.758034206,0.780886416,0.468223598,0.512608356,0.437573076,0.645028544,0.606864118,0.562666996,0.393106968,0.409479129,6.84E-05,4.71E-05,0.000365455,0.000960258,0.027698966,0.014191281,0.003886477,0.010918637,0.010057043,0.027698966,1.265
